Area,Ward No,Sub Ward,Ward Name,Winner,Party
,12,C,"Siddheshwar Talao, Kacharali Talao, Namdeo Wadi, Chandan Wadi, Raigad Galli, Hans Nagar, Pareira Nagar",Ruchit Rajesh More,ShivSena
,12,D,"Siddheshwar Talao, Kacharali Talao, Namdeo Wadi, Chandan Wadi, Raigad Galli, Hans Nagar, Pareira Nagar",Ashok Rajaram Raul,BJP
,13,A,"Dnyaneshwar Nagar, Ramchandra Nagar, Kaju Wadi, Hazuri Gaon",Ashok Barku Vaiti,ShivSena
,13,B,"Dnyaneshwar Nagar, Ramchandra Nagar, Kaju Wadi, Hazuri Gaon",Nirmala Sharad Kanse,ShivSena
,13,C,"Dnyaneshwar Nagar, Ramchandra Nagar, Kaju Wadi, Hazuri Gaon",Prabha Ashok Boritkar,ShivSena
,13,D,"Dnyaneshwar Nagar, Ramchandra Nagar, Kaju Wadi, Hazuri Gaon",Santosh Vasant Wadwale,ShivSena
,14,A,"Karwalo Nagar, Savarkar Nagar, Yashodhan Nagar",Purvesh Pratap Sarnaik,ShivSena
,14,B,"Karwalo Nagar, Savarkar Nagar, Yashodhan Nagar",Asha Sandeep Dongre,ShivSena
,14,C,"Karwalo Nagar, Savarkar Nagar, Yashodhan Nagar",Kanchan Vijay Chindarkar,ShivSena
,14,D,"Karwalo Nagar, Savarkar Nagar, Yashodhan Nagar",Dilip Chandrakant Bartakke,ShivSena
,15,A,"Indira Nagar, Sathe Nagar, Ambe Wadi, Jai Bhavani Nagar",Suvarna Vilas Kamble,BJP
,15,B,"Indira Nagar, Sathe Nagar, Ambe Wadi, Jai Bhavani Nagar",Eknath Anant Bhoir,ShivSena
,15,C,"Indira Nagar, Sathe Nagar, Ambe Wadi, Jai Bhavani Nagar",Kevaldevi Ramanayan Yadav,BJP
,15,D,"Indira Nagar, Sathe Nagar, Ambe Wadi, Jai Bhavani Nagar",Vilas Chandu Kamble,BJP
,16,A,"Shri Nagar, Warli Pada, Ram Nagar, Kailas Nagar",Manisha Sachin Kamble,ShivSena
,16,B,"Shri Nagar, Warli Pada, Ram Nagar, Kailas Nagar",Shilpa Jitendra Wagh,ShivSena
,16,C,"Shri Nagar, Warli Pada, Ram Nagar, Kailas Nagar",Gurmukhsingh Bishansingh Sayan,ShivSena
,16,D,"Shri Nagar, Warli Pada, Ram Nagar, Kailas Nagar",Manik Babu Patil,ShivSena
